ticket_id,ticket_status,ticket_created_timestamp,ticket_solved_timestamp,ec_inbox,requester_name,ec_primary_root_cause,ec_request_type,ec_product_cause
doxn-3577-1131,Hold,2024-05-10 04:04:40,,Extra Care,Kettie Diche,People::Vulnerability::Identification,Assessment,
ohpc-0618-5447,Open,2024-03-26 18:03:08,,Extra Care,Rosetta Scott,Knowledge::Knowledge Base::KB Missing,Handling,KYC::Verification::Other
qzkk-0363-3344,Open,2024-01-29 14:10:43,,Extra Care,Sharl Pashen,Process::Third Party Dependency::Third Party Access,Assessment,
hokn-4709-3898,Hold,2024-06-23 10:55:27,,Extra Care,Pauly Stampfer,Process::Expectation Gap::Product Gap,Takeover,Compliance::Fraud::Deactivation
ydqf-2805-6818,Closed,2024-02-02 20:54:39,,Extra Care,Nevins Pallant,System::Automation Issue::Intervention Failure,Takeover,KYC::Verification::POA
nhec-9816-3959,Open,2024-04-01 00:38:53,,Extra Care,Greggory Semiraz,System::False Positive Outcome::Incorrect System Intervention,Escalation,Money Moving::Wise Card::Account change effect
opwm-5571-7996,Closed,2024-01-01 01:37:58,2024-01-26 06:14:49,Extra Care,Alethea Beecham,Knowledge::Knowledge Base::KB Missing,Escalation,
yesj-9964-2145,Hold,2024-04-08 22:41:51,,Extra Care,Rosene Di Filippo,Process::Third Party Dependency::Third Party Access,Assessment,
nhsa-4215-9629,Open,2024-01-05 04:52:55,,Extra Care,Rochelle Dunridge,Process::Expectation Gap::Compliance Gap,Assessment,
fwqo-2346-8836,Hold,2024-02-26 01:28:48,,Extra Care,Estell Glyn,BOD,Assessment,Money Moving::Wise Card::Dispute
ooul-8531-2432,Hold,2024-05-31 04:46:16,,Extra Care,Minnie Rutledge,People::Vulnerability::Appropriate Accommodation,Handling,
sihe-7419-9718,Solved,2024-03-09 07:28:44,2024-04-08 23:51:25,Extra Care,Bibi Iddison,People::External Engagement::Third Party Engagement,Takeover,Compliance::Fraud::ATO
xqzf-1601-4479,Open,2024-05-27 02:08:15,,Extra Care,Elisabetta Fredy,System::False Positive Outcome::Incorrect System Intervention,Assessment,
hsev-4487-2441,Hold,2024-02-03 14:43:17,,Extra Care,Benny Rheaume,System::Customer Usage Issue::Customer Input or Error,Handling,Compliance::Fraud::Check
frjk-5798-8408,Closed,2024-04-01 11:12:51,,Extra Care,Terry Hellin,Process::Expectation Gap::Product Gap,Escalation,Money Moving::Wise Card::Card failure
cujv-4733-1481,Solved,2024-01-07 18:43:48,2024-01-08 06:59:02,Extra Care,Olwen MacVaugh,People::Customer Engagement::Unreasonable Delay,Handling,
xclz-4494-3745,Open,2024-05-27 03:22:50,,Extra Care,Loren Barnshaw,System::Automation Issue::Intervention Failure,Escalation,Money Moving::Wise Card::Account change effect
pkiz-4498-0254,Solved,2024-04-26 05:20:42,,Extra Care,Lexi Bifield,People::External Engagement::Third Party Engagement,Handling,Compliance::Sanctions::Deactivation
lmmm-9339-4159,Open,2024-04-29 05:54:25,,Extra Care,Georgie Bull,People::Incorrect Action::Agent Decision,Handling,
dlza-5166-0306,Hold,2024-05-10 17:32:49,,Extra Care,Reid Blockley,Process::Third Party Dependency::Third Party Access,Handling,ec_root_cause_compliance__fraud
upbb-6272-2658,Closed,2024-02-26 22:46:43,,Extra Care,Ximenes Jendrich,People::Vulnerability::Appropriate Accommodation,Assessment,
kxzz-4936-2935,Closed,2024-01-17 11:02:42,2024-01-28 22:14:03,Extra Care,Samaria Joris,Process::Third Party Dependency::Third Party Access,Escalation,
gbvo-8110-5300,Hold,2024-04-17 06:48:47,,Extra Care,Paulina Serot,Process::Third Party Dependency::Third Party Error,Handling,
yoho-6263-7197,Hold,2024-03-20 14:49:09,,Extra Care,Fionnula Bricket,Process::Expectation Gap::Speed Gap,Escalation,
awml-7013-8167,Open,2024-05-31 08:00:25,,Extra Care,Shalna Leifer,Do not select::Customer Input or Error,Takeover,
apgb-4586-4411,Hold,2024-02-21 00:16:03,,Extra Care,Hetty Feehely,People::Vulnerability::Identification,Handling,
anbf-4626-2549,Open,2024-02-28 07:12:45,,Extra Care,Winnie Delleschi,People::Customer Engagement::Tonal Issues,Handling,
gvnm-4306-9281,Hold,2024-03-23 15:54:48,,Extra Care,Matthieu Campos,Process::Third Party Dependency::Third Party Access,Assessment,Compliance::AML::Deactivation
ltwx-1484-2986,Solved,2024-06-25 16:59:01,2024-07-13 23:11:47,Extra Care,Cornie Davidofski,People::Vulnerability::Identification,Escalation,
vxwe-3620-4636,Closed,2024-01-03 00:53:05,2024-01-06 07:43:20,Extra Care,Lynea Tchir,Knowledge::Knowledge Base::KB Missing,Escalation,
vomq-2797-7880,Hold,2024-05-08 14:33:55,,Extra Care,Gianni Bottinelli,People::Customer Engagement::Tonal Issues,Takeover,KYC::Deactivation
tvhp-0953-0548,Hold,2024-01-23 18:34:37,,Extra Care,Nickolai Northin,Process::Internal Process Issue::Unmonitored Channel,Takeover,Account::Access and updates
msot-9458-2793,Solved,2024-05-03 20:14:02,2024-05-25 15:00:31,Extra Care,Alano Garrity,Process::Internal Process Issue::Unmonitored Channel,Escalation,KYC::CDD::SOW Deactivation
nxkd-9783-3709,Closed,2024-02-17 12:35:52,2024-02-21 13:25:39,Extra Care,Leeanne Beasleigh,People::External Engagement::Third Party Engagement,Assessment,KYC::Verification::POA
ekpd-3719-8426,Solved,2024-03-20 12:33:31,2024-03-25 05:03:43,Extra Care,Dannye Goullee,People::Customer Engagement::Unreasonable Delay,Assessment,Money Moving::Wise Card::Account change effect
dawv-7603-3716,Closed,2024-03-16 17:02:29,,Extra Care,Brietta Houliston,People::Customer Engagement::Agent Understanding,Assessment,Compliance::Fraud::Check
bqdb-7030-2067,Open,2024-04-25 17:44:56,,Extra Care,Axe Sutherington,System::Customer Usage Issue:Technical Issues,Escalation,
vngy-2848-0619,Open,2024-05-07 12:40:33,,Extra Care,Tiphanie Dominey,People::Incorrect Action::Agent Decision,Takeover,ec_root_cause_compliance__fraud
tgcw-2327-0869,Closed,2024-01-29 14:40:48,2024-02-08 09:25:18,Extra Care,Tucker McAuley,Process::Org Delay::Insufficient Resource,Assessment,
ztkm-5718-8093,Hold,2024-05-26 17:13:53,,Extra Care,Collette Gouck,System::Customer Usage Issue::Accessibility,Escalation,
rlcf-7501-0601,Closed,2024-02-05 03:50:51,,Extra Care,Kelley Trythall,People::Incorrect Action::Procedural Adherence,Assessment,
ifhi-3892-0436,Closed,2024-01-16 06:01:51,,Extra Care,Duane Bruineman,Process::Expectation Gap::Speed Gap,Handling,
dlme-5489-2294,Solved,2024-03-30 15:29:57,2024-04-13 22:19:30,Extra Care,Townie Huckstepp,Process::Third Party Dependency::Third Party Info Delay,Escalation,
abgl-2659-3564,Hold,2024-05-16 04:38:17,,Extra Care,Emili Hulett,People::Incorrect Action::Incorrect Guidance,Assessment,KYC::POAT
coty-5208-7853,Solved,2024-06-06 13:51:52,2024-07-02 04:53:16,Extra Care,Edgard Lawther,Knowledge::Outward Facing Information::External Publication Misleading,Takeover,
pvrr-1169-3815,Open,2024-03-01 07:34:31,,Extra Care,Jephthah Ascough,People::Customer Engagement::Unreasonable Delay,Takeover,
rwph-6950-5393,Hold,2024-05-01 17:53:47,,Extra Care,Beryl Dengel,Process::Expectation Gap::Compliance Gap,Escalation,KYC::Verification::Other
