complaint_id,customer_name,complaint_date,complaint_category,resolution_status,customer_location_city,complaint_location_country,employee_responsible,satisfaction_rating,follow_up_required,escalation_level,complaint_channel,resolution_date,complaint_status,response_method,complaint_priority,Diff  in Days,Difference in Hours
syfe-1338-7924,Adlai Coldbath,2024-05-20 12:50:22,where_s_my_money,Escalated,Mahalapye,Botswana,acoldbath0@wise.com,4,FALSE,Level 3,Chat,2024-05-29 18:14:36,Closed,Chat,Low,9,216
haqm-3401-6935,Pierre Fairbank,2024-06-06 12:09:21,scam,Escalated,San Jerónimo,Peru,pfairbank1@wise.com,,TRUE,Level 2,Chat,,Closed,Chat,Low,,
whvz-0321-5067,Rita Morales,2024-06-19 13:15:14,hat,Resolved,Sho’rchi,Uzbekistan,rmorales2@wise.com,1,TRUE,,Email,2024-06-27 01:25:27,Closed,Chat,Low,8,192
logj-9025-9395,Malinde Arent,2024-05-24 08:52:21,exchange_rate,Escalated,Ubajami,Indonesia,marent3@wise.com,,TRUE,Level 2,Chat,,Closed,Chat,Medium,,12
oeiv-4229-0082,Kendricks Sally,2024-02-11 13:06:48,plastic,Resolved,Bendilwungu Lor,Indonesia,ksally4@wise.com,,FALSE,,Email,,Closed,Chat,Medium,,
fvsi-1600-1526,Nelie Kimbell,2024-04-24 19:31:25,where_s_my_money,Pending,Alto de la Estancia,Panama,nkimbell5@wise.com,,FALSE,,Email,,In Progress,Chat,Medium,,
oott-6601-5035,Peggi Lanston,2024-02-04 17:34:55,account_deactivation,Pending,Rongelap,Marshall Islands,planston6@wise.com,,FALSE,,Phone,,Open,Chat,High,,
ehhf-9106-0051,Elke Mitchely,2024-04-15 00:23:10,referrals,Pending,Bofuer,Indonesia,emitchely7@wise.com,,FALSE,,Email,,In Progress,Email,High,,
lrig-9565-0440,Susannah Dils,2024-01-12 01:38:59,assets/_investments,Resolved,Vogar,Iceland,sdils8@wise.com,2,FALSE,,Phone,2024-01-13 11:43:46,Closed,Call,High,1,24
lwzj-6204-0590,Neale Tall,2024-02-27 06:57:53,technical_issues,Escalated,Borova,Ukraine,ntall9@wise.com,5,TRUE,Level 1,Chat,2024-03-03 11:10:11,Closed,Chat,Medium,5,120
vckr-8302-2667,Gilberta Garvill,2024-02-14 21:45:08,scam,Resolved,Methóni,Greece,ggarvilla@wise.com,3,TRUE,,Phone,2024-02-18 05:38:14,Closed,Call,High,4,96
ehum-5019-3149,Wiley Rikkard,2024-02-09 10:21:26,exchange_rate,Pending,Bergamo,Italy,wrikkardb@wise.com,,TRUE,,Phone,,In Progress,Call,High,,
tutp-1647-1028,Kevina Drewery,2024-05-27 10:03:54,other,Escalated,Murzuq,Libya,kdreweryc@wise.com,3,TRUE,Level 1,Email,2024-05-30 00:27:24,Closed,Chat,Medium,3,72
cuto-0971-2685,Daryl Cawthron,2024-01-28 01:58:25,scam,Resolved,Jinnan,China,dcawthrond@wise.com,,FALSE,,Chat,,Closed,Email,Low,,
gpbt-4370-9395,Mandy Passler,2024-02-06 13:39:16,verification,Resolved,Suqiaoxiang,China,mpasslere@wise.com,,TRUE,,Phone,,Closed,Chat,Medium,,
zsoy-1254-7170,Caritta Grayshan,2024-03-07 09:45:23,other,Escalated,Chrząstowice,Poland,cgrayshanf@wise.com,,TRUE,Level 3,Email,,Closed,Call,High,,
pbiw-5761-9528,Micah Skase,2024-04-24 04:53:16,customer_service,Pending,Karawatu,Indonesia,mskaseg@wise.com,,FALSE,,Phone,,Open,Call,Low,,
ofxd-8865-2727,Ebony Ower,2024-03-22 04:09:44,account_deactivation,Resolved,Kangar,Malaysia,eowerh@wise.com,,TRUE,,Phone,,Closed,Email,Medium,,
txgv-3874-4951,Doralin Jankovsky,2024-04-23 14:48:54,hat,Pending,Castleknock,Ireland,djankovskyi@wise.com,,TRUE,,Phone,,In Progress,Call,Low,,
kfjy-9691-0698,Becki Perrycost,2024-02-13 09:50:25,plastic,Escalated,Radiměř,Czech Republic,bperrycostj@wise.com,,FALSE,Level 2,Phone,,Closed,Email,Medium,,
aoqb-9678-2472,Merna Malitrott,2024-05-10 18:14:35,fees,Resolved,Changning,China,mmalitrottk@wise.com,,TRUE,,Email,,Closed,Call,Low,,
ztwe-5803-9462,Karina Knivett,2024-06-21 01:56:54,technical_issues,Resolved,Gamut,Philippines,kknivettn@wise.com,3,FALSE,,Phone,2024-06-28 12:05:38,Closed,Call,Medium,7,168
fxxr-5310-6944,Lizbeth O'Fielly,2024-01-07 05:55:12,referrals,Resolved,Bulod,Philippines,lofiellyo@wise.com,,FALSE,,Email,,Closed,Email,Low,,
